Название,Оценка Film.ru,Оценка IMDb,Оценка пользователей,Год,Жанр,Страна,время,режиссер,сценарий,премьера,бюджет,сборы,кинопрокат,производство,другие названия,ссылки,режиссеры,длительность
Старое ружье,8,7.6,8.1,1975,война,драма,1 час 43 минуты,Робер Энрико,Claude Veillot,03.05.2018 (РФ),,,Cinema Prestige,"Les Productions Artistes Associés, Mercure Productions, TIT Filmproduktion GmbH","The Old Gun, Het oud geweer, Старата пушка, O Velho Fuzil, Stará puška, En mand søger hævn, El viejo fusil, Kätketty ase, Ekdikisi me to palio toufeki, To palio toufeki, A bosszú, Frau Marlene, Det gamle geværet, Stara strzelba, A mulher, o amor e o ódio, Dubbelbössan, Старое ружьё, Savas kurbanlari, Vengeance One by One, Abschied in der Nacht, Das alte Gewehr, Stara puška",,,
Театр,8,7.6,6.4,1978,драма,СССР,2 часа 23 минуты,Ян Стрейч,Ян Стрейч,,,,,Рижская киностудия,,,,2 серии
Голый пистолет,8,7.6,7.6,1988,комедия,триллер,1 час 25 минут,Дэвид Цукер,  ...,02.12.1988 (мир),,,,Paramount Pictures,"Die nackte Kanone, The Naked Gun, La pistola desnuda, Голо оръжие, Corra Que a Polícia Vem Aí!, L'agent fait la farce, ¿Y dónde está el policía?, Bláznivá strela, Høj pistolføring, Agárralo como puedas, Mies ja alaston ase, Y a-t-il un flic pour sauver la reine?, Trelles sfaires, Τρελές σφαίρες, Goli pištolj, Csupasz pisztoly, Beint á ská, Una pallottola spuntata, Hadaka no Gan o Motsu Otoko, Mannen med den nakne pistol, Naga bron, Aonde É Que Pára a Polícia, Den nakna pistolen, Gola pistola, Голый пистолет, Çiplak silah, Police Squad!, Corra que a Polícia vem Aí!, Bláznivá střela, Bláznivá strela: Z archivu policejního oddelení, Bláznivá strela: Z análu policejního útvaru, Palja relvaga, Mannen med den nakna pistolen, 裸の銃を持つ男, Nuogas ginklas. Iš ypatingojo policijos skyriaus bylu, Mannen med den nakne pistol - med rett til å gå i baret, Naga broń, Un polițist cu explozie întârziată, Голи пиштољ, Agafa-ho com puguis, 笑彈龍虎榜, Çıplak Silah, Голий пістолет. З файлів поліційного відділку, Голий пістолет, Yalang'och to'pponcha",,,
Оружейный барон,8,7.6,7.4,2005,боевик,драма,2 часа 2 минуты,Эндрю Никкол,Эндрю Никкол,02.02.2006 (РФ),50000000 $,$24 149 632 (США),Гемини,"Entertainment Manufacturing Company, VIP 3 Medienfonds, Ascendant Pictures, Saturn Films, Rising Star, Copag V, Endgame Entertainment, Majority Entertainment, Metro-Goldwyn-Mayer (MGM)","Lord of War, Lord of War - HAndler des Todes, El señor de la guerra, O Senhor das Armas, Цар на войната, Le seigneur de guerre, 战争之王, El Señor de la guerra, Gospodar rata, Obchodník se smrtí, Sõjajumal, Lord of War - Händler des Todes, Kyriarhos tou paihnidiou, Κυρίαρχος του παιχνιδιού, Fegyvernepper, ロード・オブ・ウォー, Kara kungs, Karo dievas, Hombre peligroso, Pan życia i śmierci, O Senhor da Guerra, Lordul razboiului, Traficantul de arme, Господар рата, Obchodník so smrtou, Gospodar vojne, O señor da guerra, 軍火之王, Savaş tanrısı, Збройний барон",Официальный сайт (англ.)Твой жалкий пистолет (К.Тарханова),,
Долгая помолвка,8,7.6,6.8,2004,детектив,драма,2 часа 13 минут,Жан-Пьер Жене,Гийом Лоран,02.12.2004 (РФ),56600000 $,,Каро Премьер,"2003 Productions, Warner Bros., Tapioca Films, TF1 Films Production, Canal+, Centre national du cinéma et de l'image animée (CNC), La Région Île-de-France, Région Bretagne, Région Poitou-Charentes, Gerber Pictures","Un long dimanche de fiancailles, A Very Long Engagement, Amor eterno, Mathilde - Eine große Liebe, Eterno Amor, Най-дългият годеж, Zaruke su dugo trajale, En lang forlovelse, Väga pikk kihlus, Pitkät kihlajaiset, Oi ateleiotoi arravones, Οι Ατελείωτοι Αρραβώνες, Hosszú jegyesség, Una lunga domenica di passioni, Long Engagement, ロング・エンゲージメント, Saderināšanās uz mūžu, Ilgos suzadetuves, En langvarig forlovelse, Bardzo długie zaręczyny, Um Longo Domingo de Noivado, O logodna foarte lunga, Veridba je dugo trajala, Zelo dolga zaroka, Engagement, Largo domingo de noviazgo, En långvarig förlovning, 未婚妻的漫長等待, Kayıp nişanlı, Довгі заручини","Официальный сайт (англ.)Официальный сайт (фр.)Матильда идет на войну (К.Тарханова)Лауреаты и номинанты на премию ""Оскар""-2005",,
Настройщик,8,7.6,6.3,2004,мелодрама,триллер,2 часа 34 минуты,Кира Муратова,,07.04.2005 (РФ),,,Кино Без Границ,Пигмалион Продакшн,,"Страница фильма на сайте компании ""Пигмалион Продакшн""Страница фильма на сайте компании ""Кино без границ""Страница фильма на сайте компании ""Пигмалион Продакшн"" (англ.)Страница фильма на сайте компании ""Пигмалион Продакшн"" (итал.)Венеция-2004: Беременное кино. Венеция гадает на кофейной гуще (Валерий Кичин, ""Российская газета"")Нужно, чтоб каждого кто-то любил... (Екатерина Барабаш, ""Независимая газета"")До старости щенок (Евгения Леонова, ""Экран и Сцена"")Ника-2005: Те же плюс ""Настройщик"" (Валерий Кичин, ""Российская газета"")Неподдельное совершеннолетие (К. Тарханова)",,
Эффект бабочки,8,7.6,7.6,2004,драма,триллер,1 час 45 минут,,Эрик Брэсс,12.02.2004 (РФ),13000000 $,$57 938 693 (США),Гельварс,"BenderSpink, FilmEngine, Katalyst Films, Province of British Columbia Production Services Tax Credit","Butterfly Effect, L'effet papillon, El efecto mariposa, Ефектът на пеперудата, Efeito Borboleta, Osudový dotek, Liblikaefekt, Perhosvaikutus, Peplis Efeqti, To fainomeno tis petaloudas, Το φαινόμενο της πεταλούδας, Domino efekt, Pillangó-hatás, Batafurai efekuto, Nabi hyogwa, Efekt motyla, Efect de fluture, Efekat leptira, Ucinek metulja, Kelebek etkisi, Ефект метелика, 蝴蝶效应, Fiðrilda áhrifin, バタフライ・エフェクト, Tauriņa efekts, Drugio efektas, Zbor de fluture, Ефекат лептира, Osudový dotyk, Efekt motýlích krídiel, 蝴蝶效應",Официальный сайт (англ.)Эффективность сачка (К.Тарханова),Дж. Мэки Грабер,
Королевская битва,8,7.6,6.8,2000,драма,приключения,1 час 54 минуты,Киндзи Фукасаку,Кента Фукасаку,21.04.2022 (РФ),4500000 $,,Космопол ФД,"AM Associates, Fukasaku-gumi, GAGA, Kobi Co., MF Pictures, Nippon Shuppan Hanbai (Nippan) K.K., Toei Company, WOWOW","Batoru rowaiaru 3D, Battle Royale, Battle Royale 3-D, Battle Royale: Special Edition, Battle Royale: Special Version, Batoru rowaiaru, Batalla real, Кралска битка, Batalha Real, Batalla Real, Juego Sangriento, A Batalha Real, Borba do poslednjeg, Ölüm oyunu",Официальный русский сайт,,
Другие,8,7.6,7.7,2001,детектив,триллер,1 час 55 минут,Алехандро Аменабар,Алехандро Аменабар,27.12.2001 (РФ),17000000 $,$96 522 687 (США),Централ Партнершип,"Cruise, Wagner Productions, Sogecine, Las Producciones del Escorpión, Dimension Films, Canal+, StudioCanal, Lucky Red, Miramax","Los otros, Nevidljivi, Другите, Os Outros, Les autres, Teised, Miyvarxar, Oi alloi, Οι άλλοι, Uljezi, Más világ, Ha-Aherim, Inni, Duhovi u nama, Vsiljivci, Digerleri, The Darkness, Los Otros, Ti druzí, Skhvebi, アザーズ, Kiti, Ceilalti, Духови у нама, Tí druhí, 神鬼第六感, Diğerleri, es sofom ipova, Інші, 不速之嚇",Официальный русский сайтОфициальный сайт (исп.)Другие такие же ненормальные (К.Тарханова),,
Кто убил BlackBerry,8,7.5,5.8,2023,биографический,драма,1 час 50 минут,Мэтт Джонсон,  ...,11.05.2023 (РФ),,,КИНО.АРТ.ПРО,"Rhombus Media, Zapruder Films, Téléfilm Canada, Ontario Creates, Canadian Broadcasting Corporation (CBC)",Кто убил BlackBerry?,,,
Тар,8,7.5,6.3,2022,драма,музыка,2 часа 31 минута,Тодд Филд,Тодд Филд,15.11.2022 (онлайн),,,,"Focus Features, Standard Film Company, EMJAG Productions",,,,
Точка кипения,8,7.5,5.9,2021,драма,триллер,1 час 35 минут,Фил Барантини,Джеймс Каммингс,23.07.2022 (онлайн),,,Капелла Фильм,"Ascendant Films, Burton Fox Films, White Hot Productions, Three Little Birds Pictures, Alpine Films, Bromantics, Insight Media Fund, Matriarch Productions, Urban Way Productions","Bod Vardu, Točka pucanja, Bod varu",,,
"Девушка, подающая надежды",8,7.5,6.1,2020,детектив,драма,1 час 53 минуты,Эмеральд Феннелл,Эмеральд Феннелл,21.01.2021 (РФ),,22 236 435 руб. (РФ),Вольга,"FilmNation Entertainment, Focus Features, LuckyChap Entertainment","Obetavno dekle, Lupaava nuori nainen, Paljutõotav noor naine, Ígéretes fiatal nő, Perspektyvi mergina, Obiecująca. Młoda. Kobieta., Nádejná mladá žena, Перспективна дівчина, Una joven prometedora, Hermosa venganza, Bela Vingança, Момиче с потенциал, Une jeune femme pleine de promesses, 韶华, Djevojka koja obećava, Nadějná mladá žena, Υποσχόμενη Νέα Γυναίκα, Tze'irah Mavtikha, Una donna promettente, プロミシング・ヤング・ウーマン, Uma Miúda com Potencial, Devojka koja obećava, 프라미싱 영 우먼, 花漾女子, Yetenekli Genç Kadın, Cô Gái Trẻ Hứa Hẹn",,,
Я потеряла своё тело,8,7.5,6.5,2019,мультфильмы,драма,1 час 21 минута,Джереми Клапин,Гийом Лоран,,,,,"Xilam, Auvergne Rhône-Alpes Cinéma, SofiTVciné 6, Indéfilms 7, La Région Île-de-France, La Région Île-de-France, Région Réunion, Région Auvergne-Rhône-Alpes, Centre National du Cinéma et de L'image Animée (CNC), Centre National du Cinéma et de L'image Animée (CNC), Agence Nationale de Gestion des Œuvres Audiovisuelles (ANGOA)","Я потерял своё тело, I Lost My Body, Ich habe meinen Körper verloren, Έχασα το Σώμα μου, Dov'è il mio corpo, Zgubilam swoje cialo, ¿Dónde está mi cuerpo?, Grab, Perdí mi cuerpo, Perdi Meu Corpo, Keresem a testem, Nakushita karada, 失くした体, I lost my body, Bedenimi Kaybettim",,,
Тик-так… БУМ!,8,7.5,7,2021,биографический,драма,1 час 55 минут,Лин-Мануэль Миранда,Джонатан Ларсон,19.11.2021 (онлайн),,,,"5000 Broadway Productions, Imagine Entertainment","Тик-так, бум!, Тик-тик, бум!, Tick, Tick... Boom, tick, tick... Boom!, Tick, Tick... Boom!, Tick Tick... Boom, 夢想期限 tick, tick... BOOM!, 倒數時刻, tick, tick... BOOM!, tick, tick...Boom!, チック、チック... ブーン!, 틱, 틱... 붐!, Тік-так... Бум!, تيك تيك... بوم!",,,
Дело Ричарда Джуэлла,8,7.5,6.7,2019,биографический,драма,2 часа 11 минут,Клинт Иствуд,  ...,09.01.2020 (РФ),,66 782 966 руб. (РФ),Каро Премьер,"Appian Way, Misher Films, 75 Year Plan Productions, Canadian Film or Video Production Tax Credit (CPTC), The Malpaso Company","Баллада о Ричарде Джуэлле, The Ballad of Richard Jewell, Случаят Ричард Джуъл, Le cas Richard Jewell, O Caso de Richard Jewell, El caso de Richard Jewell, O Caso Richard Jewell, Der Fall Richard Jewell, Richard Jewell balladája, Річард Джуелл, 理查德·朱维尔的哀歌, Slučaj Richarda Jewella, Le Cas Richard Jewell, Η Μπαλάντα του Ρίτσαρντ Τζούελ, リチャード・ジュエル, 李察朱威爾事件, Richard Juell, Anh Hùng Richard Jewell",,,
Прощание,8,7.5,6.7,2019,драма,комедия,1 час 40 минут,Лулу Ванг,Лулу Ванг,17.10.2019 (РФ),,1 325 824 руб. (РФ),A-One Films,"Big Beach Films, Depth of Field, Kindred Spirit",Untitled Lulu Wang Project,,,
Боль и слава,8,7.5,6.2,2019,драма,Испания,1 час 53 минуты,Педро Альмодовар,Педро Альмодовар,12.06.2019 (РФ),,25 145 097 руб. (РФ),Вольга,"Canal+, Ciné+, El Deseo, El Primer Deseo, Gobierno de España, Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA), Pathé, Radio Televisión Española (RTVE)","Douleur et gloire, Pain and Glory, Pain & Glory, Fájdalom és dicsőség, Leid und Herrlichkeit, Dor e Glória, Болка и величие, 痛苦与荣耀, Tong Ku Yu Rong Yao, Tuga i slava, Smerte og ære, Valu ja hiilgus, Kärsimys ja kunnia, Πόνος και Δόξα, 萬千痛愛在一身, Pain & Glory, Ke'ev ou'Tehila, Dolor y Gloria, ペイン・アンド・グローリー, Sāpes un slava, Skausmas ir šlovė, Ból i blask, Бол и слава, Bolečina in slava, Smärta och ära, 痛苦與榮耀, Acı ve Zafer, Біль та слава, Đau Đớn Và Vinh Quang, Dolor y gloria",,,
Пылающий,8,7.5,6,2018,детектив,драма,2 часа 28 минут,Ли Чан-дон,Jungmi Oh,05.07.2018 (РФ),,12 022 954 руб. (РФ),ПРОвзгляд,"Pine House Film, NHK, Now Films",Beoning,,,
Апгрейд,8,7.5,7.3,2018,боевик,триллер,1 час 40 минут,Ли Уоннелл,Ли Уоннелл,22.11.2018 (РФ),,61 107 278 руб. (РФ),Экспонента,"Goalpost Pictures, Automatik Entertainment, Blumhouse Productions, Nervous Tick Productions","Стем, Újrainditás, Stem, Reprogrammé, Meshoudrag, Upgrade: máquina asesina, Ulepszenie, Upgrade: Máquina asesina, Upgrade: Atualização, Ъпгрейд, Upgrade - Javított verzió, アップグレード, Patobulinimas, Upgrade: Máquina Assassina, Надоградња, 人類升級, Апґрейд, Apgreyd",Сайт фильма,,
"С любовью, Саймон",8,7.5,7.4,2018,драма,комедия,1 час 50 минут,Грег Берлэнти,Исаак Аптакер,27.02.2018 (мир),17000000 $,$40 826 341 (США),,"Fox 2000 Pictures, New Leaf Literary & Media, Temple Hill Entertainment, Twisted Media","Szeretettel, Simon, Simon vs. the Homo Sapiens Agenda, Yo soy Simón, Com Amor, Simon, Já, Simon, Con amor, Simon, Minä, Simon, Kszi, Simon, Tuo, Simon, Su meile, Saimonas, Twój Simon, Z ljubeznijo, Simon, С обич, Саймън, Avec amour, Simon, 爱你，西蒙, Yo Soy Simón, S ljubavlju, Simon, Με Αγάπη, Σάιμον, Be'ahava, Simon, Love, サイモン 17歳の告白, Cu drag, Simon, С љубављу, Сајмон, Ja, Simon, 親愛的初戀, Sevgiler, Simon, З любов'ю, Саймон, Thương Mến, Simon",,,
Тихое место,8,7.5,6.5,2018,драма,триллер,1 час 35 минут,Джон Красински,Джон Красински,12.04.2018 (РФ),17000000 $,335 655 957 руб. (РФ),Централ Партнершип,"Platinum Dunes, Sunday Night","Нито звук, Un posto tranquillo, Um Lugar Silencioso, Un lugar en silencio, Tiché místo, Un lugar tranquilo, Hiljainen paikka, Ένα ήσυχο μέρος, Egy nyugodt hely, Hang nélkül, Ciche miejsce, Kena vaikne kohake, Sans un bruit, A Quiet Place: Un posto tranquillo, Tylos zona, Tiho mesto, Sessiz Bir Yer",,,
Заппа,8,7.5,6.5,2020,биографический,документальный,1 час 48 минут,Алекс Уинтер,Алекс Уинтер,28.07.2021 (РФ),,,CoolConnections,"Trouper Productions, Zipper Bros Films",Who the F*@% Is Frank Zappa?,,,
Тоня против всех,8,7.5,7.1,2017,биографический,драма,1 час 59 минут,Крэйг Гиллеспи,Стивен Роджерс,02.03.2018 (РФ),,$30 014 539 (США),Капелла Фильм,"AI-Film, Clubhouse Pictures (II), Georgia Film, Music & Digital Entertainment Office, LuckyChap Entertainment, beIN Media Group","Ледяная стерва, Я, Тоня, Yo, Tonya, Εγώ, η Τόνια, Én, Tonya, Eu, Tonya, Moi, Tonya, Já, Tonya, Ja, Tonya, As esu Tonya, Jestem najlepsza. Ja, Tonya, Jaz, Tonya, Yo soy Tonya, Аз, Тоня, 我，花样女王, Tonya, Mina, Tonya, Ego, i Tonia, Anni, Tonya, アイ，トーニャ　史上最大のスキャンダル, Es, Tonija, Aš esu Tonia, Eu Tonya, Ja, Tonja, 老娘叫譚雅, Ben, Tonya, Men, Tonya, Tôi Là Tonya",,,
Бруклин,8,7.5,7.1,2015,драма,мелодрама,1 час 57 минут,Джон Краули,Колм Тойбин,04.02.2016 (РФ),,$38 322 743 (США),Двадцатый Век Фокс СНГ,"Wildgaze Films, BBC Films, Parallel Film Productions, BAI, BBC Films, BFI Film Fund, Broadcasting Authority of Ireland, Bun and Ham Productions, Crédit d'Impôt Cinéma et Télévision, Finola Dwyer Productions, HanWay Films, Ingenious Productions, Item 7, Quebec Film and Television Tax Credit, Raidió Teilifís Éireann (RTÉ), SODEC, Screen Ireland, The Government of Ireland, Téléfilm Canada","Brooklyn - Eine Liebe zwischen zwei Welten, Brooklyn: Un amor sin fronteras, Brooklin, Бруклин, 布鲁克林, Brooklyn: Amor Sin Fronteras, ブルックリン, Bruklinas, Brooklyn: un nuevo hogar, Bruklin, 愛在他鄉, Бруклін",,,
Кто я,8,7.5,7.2,2014,триллер,Германия,1 час 45 минут,Баран бо Одар,Баран бо Одар,13.08.2015 (РФ),,19 303 235 руб. (РФ),25th Floor Film,"Wiedemann & Berg Filmproduktion, Seven Pictures, Deutsche Columbia Pictures Film Produktion","Who Am I: Kein System Ist Sicher, WhoAmI, WHO AM I. Mozesz byc kim chcesz, Who Am I, Who Am I. Możesz być kim chcesz, Who Am I - No System Is Safe,",,,
Пуля в голове,8,7.5,7.2,1990,боевик,война,2 часа 16 минут,Джон Ву,Джон Ву,17.08.1990 (мир),3500000 $,,,"Golden Princess Film Production Limited, John Woo Film Production","Bloodshed in the Streets, Bullet in the Head, Die xue jie tou, Dip huet gaai tau",,,
Доктор Стрэндж,8,7.5,7.6,2016,боевик,приключения,1 час 55 минут,Скотт Дерриксон,  ...,31.10.2016 (РФ),165000000 $,1 427 985 663 руб. (РФ),Walt Disney Studios,"Marvel Studios, Walt Disney Pictures","Doctor Extraño, Doutor Estranho, Doctor Strange: Hechicero Supremo, Доктор Стрэндж, Doktor Strange, Dr. Strange, Доктор Стрейндж, Daktaras Streindzas, Dr Strange, Doktor Strejnxh, Docteur Strange, Doctor Strange: Hechicero supremo, Doqtor streinji, Doctor Strange: Samay Ka Khel, ドクター・ストレンジ, Doktors Streindžs, Daktaras Streindžas, Marvel's Doctor Strange, Doctor Strange: hechicero supremo, Доктор Стрејнџ, 奇異博士, Доктор Стрендж, Doktor Strenj, Phù Thủy Tối Thượng",,,
Танец реальности,8,7.5,6.6,2013,биографический,драма,2 часа 13 минут,Алехандро Ходоровски,Алехандро Ходоровски,31.07.2014 (РФ),3000000 $,$293 680 (США),Кино Без Границ,"Le Soleil Films, Camera One","La danza de la realidad, The Dance of Reality, La Danza de la Realidad, A Dança da Realidade, Танцът на реалността, La danse de la réalité, Elämän tanssi, Livets dans, La Danse de la réalité, O horos tis pragmatikotitas, Ο Χορός της Πραγματικότητας, La danza della realtà, リアリティのダンス, Taniec rzeczywistości, Ples stvarnosti",Сайт фильма,,
Голодные игры: И вспыхнет пламя,8,7.5,6.9,2013,боевик,драма,2 часа 26 минут,Фрэнсис Лоуренс,Сьюзен Коллинз,21.11.2013 (РФ),130000000 $,$424 668 047 (США),Вольга,"Color Force, Lionsgate","Catching Fire, Hunger Games - La ragazza di fuoco, The Hunger Games 2, The Hunger Games II, Los juegos del hambre: En llamas, Jogos Vorazes: Em Chamas, Игрите на глада: Възпламеняване, Hunger Games: L'embrasement, En llamas: Los juegos del hambre, Igre gladi: Plamen, Näljamängud: Lahvatab leek, Nälkäpeli - vihan liekit, Hunger Games: L'Embrasement, Shimshilis tamashebi 2, Die Tribute von Panem - Catching Fire, The Hunger Games: Fotia, The Hunger Games: Φωτιά, Αγώνες πείνας: Φωτιά, Az éhezők viadala: Futótűz, Mis'hakei ha'ra'av: hitlak'hout, Hunger Games: La ragazza di fuoco, Hangâ Gêmu 2, ハンガー・ゲーム2, Bada spēles: Spēle ar uguni, Bado žaidynes. Ugnies medžiokle, Hunger Games: Catching Fire, The, Igrzyska śmierci: W pierścieniu ognia, Igrzyska smierci 2, Igrzyska smierci 2: Pierscien ognia, The Hunger Games: Em Chamas, Jocurile foamei: Sfidarea, Игре глади: Лов на ватру, Hry o život: Skúška ohňom, Igre lakote: Kruto mascevanje, 飢餓遊戲：星火燎原, Açlık Oyunları: Ateşi Yakalamak, Голодні ігри: У вогні, The Idiom, Dau truong sinh tu 2, Hunger Games: Vražedná pomsta, Bado žaidynės. Ugnies medžioklė, Igrzyska śmierci 2, Igrzyska śmierci 2: Pierścień ognia, Igrzyska śmierci: W kręgu ognia, Đấu Trường Sinh Tử 2: Bắt Lửa",Сайт фильма,,
Ярость,8,7.5,7,2014,боевик,война,2 часа 14 минут,Дэвид Эйр,Дэвид Эйр,30.10.2014 (РФ),68000000 $,$85 817 906 (США),Walt Disney Studios,"Columbia Pictures, QED International, LStar Capital, Grisbi Productions, Le, Crave Films, Huayi Brothers Media","Brad Pitt/David Ayer Untitled, Corazones de hierro, Qezeb, Corações de Ferro, Ярост, Srce od čelika, Železná srdce, Raev, Herz aus Stahl, Harag, फ़्यूरी, Za'am, フューリー, Niknais, Iniršis, Furia, Fúria, Furia: Eroi anonimi, Бес, Zelezné srdce, Železné srdce, Bes, Corazones de acero, 怒火特攻隊, Лють, Wardaddy, Qahr, G'azab, Cuồng Nộ",Сайт фильма,,
Спасти мистера Бэнкса,8,7.5,7,2013,биографический,драма,2 часа 5 минут,Джон Ли Хэнкок,Сью Смит,23.01.2014 (РФ),35000000 $,$83 301 580 (США),Walt Disney Studios,"Walt Disney Pictures, Ruby Films, Easy Tiger Productions, Essential Media & Entertainment, BBC Films, Hopscotch Features","El sueño de Walt, Dans l'ombre de Mary, Спасяването на Мистър Банкс, Walt nos Bastidores de Mary Poppins, Sauvons M. Banks, Hr. Banksi päästmine, Al encuentro de Mr. Banks, Dans l'ombre de Mary: La promesse de Walt Disney, I magiki ombrela, Η μαγική ομπρέλα, Kako je spašen gospodin Banks, Banks úr megmentése, Le'hatzil et Mister Banks, Walt Disney's Promise, Ûoroto Dizunî no yakusoku, Isgelbeti pona Benksa, Ratujac pana Banksa, Ao Encontro de Mr. Banks, Spasavanje g. Benksa, Resevanje gospoda Banksa, Mr. Banks, Порятунок мiстера Бенкса, 大梦想家, Dans l'ombre de Mary : La Promesse de Walt Disney, ウォルト・ディズニーの約束, Par Mēriju Popinsu un Benksa kungu, Išgelbeti poną Benksą, Išgelbėti poną Benksą, Ratując pana Banksa, Saving Mr. Banks: În cautarea povestii, Спасавање господина Бенкса, 大夢想家, Порятунок містера Бенкса, Cuộc Giải Cứu Thần Kỳ",Сайт фильма,,
Белоснежка,8,7.5,6.1,2012,драма,фэнтези,1 час 44 минуты,Пабло Бергер,Пабло Бергер,28.03.2013 (РФ),,$279 735 (США),Другое Кино,"Arcadia Motion Pictures, Sisifo Films AIE, Nix Films, Kraken Films, The, Noodles Production, Arte France Cinéma, uFilm, uFund, Banque Postale Image 4, Palatine Étoile 9, Eurimages, Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA), Centre National du Cinéma et de L'image Animée (CNC), Institut Català de les Empreses Culturals (ICEC), Arte France, Televisión Española (TVE), Canal+ España, Televisió de Catalunya (TV3), Le Tax Shelter du Gouvernement Fédéral de Belgique, Motion Investment Group, Sundance Institute, The, Umedia","Snow White, Снежанка, Branca de Neve, Blancanieves - Ein Märchen von Schwarz und Weiss, Blancaneu, Lumikki, Hionati, Snjeguljica, Hófehérke, Snøhvit fra Andalucia, Królewna Sniezka, Sniezka, Alba ca zapada,",Сайт фильма,,
Заклятие,8,7.5,7.2,2013,детектив,триллер,1 час 52 минуты,Джеймс Ван,Кэри Хэйс,25.07.2013 (РФ),20000000 $,$137 400 141 (США),Каро Премьер,"New Line Cinema, The Safran Company, Evergreen Media Group","El conjuro, Prizivanje, Заклинанието, Invocação do Mal, La Conjuration, V zajetí démonu, Conjuring - Die Heimsuchung, Nattens dæmoner, Kurja kutsumine, Expediente Warren, Besvärjelse, Kirottu, Conjuring: Les dossiers Warren, To kalesma, Το κάλεσμα, Prizivanja, Démonok között, Le'za'men et ha'ro'a, L'evocazione - The Conjuring, Shiryô-kan, Isvarymas, Obecnosc, The Conjuring - A Evocação, Prizivanje zla, Priklicano zlo, Korku Seansi, Закляття, The Warren Files, La conjuration, V zajetí démonů, Ehzar, 死霊館, Ļaunuma izsaukšana, Obecność, Trăind printre demoni, Призивање зла, V zajatí démonov, Expediente Warren: The Conjuring, 厲陰宅, Korku Seansı, Ám Ảnh Kinh Hoàng",Сайт фильма,,
Невозможное,8,7.5,7.1,2012,драма,исторический,1 час 54 минуты,Хуан Антонио Байона,María Belón,14.02.2013 (РФ),,52 162 917 руб. (РФ),Централ Партнершип,"Mediaset España, Summit Entertainment, Apaches Entertainment, Telecinco Cinema, Canal+ España, Películas la Trini, Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA), Generalitat Valenciana, Institut Valencià de Cinematografia (IVAC), VS Service, DragonCove Studios","Lo imposible, Imkansiz, Невъзможното, O Impossível, L'impossible, The Impossible - Nichts ist stärker als der Wille, zu überleben, Ilmvõimatu, Selviytyminen, Το αδύνατο, Nemoguće, A lehetetlen, Ha'Bilti efshary, Impossible, Pragaras rojuje, Neiespejamais, Niemozliwe, Paradisul spulberat, Kiyamet Günü, Неможливе, The Impossible: Überleben ist alles, Lo Imposible, インポッシブル, Neiespējamais, Det umulige, Niemożliwe, Nič nás nerozdelí, 浩劫奇蹟, Kıyamet Günü, Imkonsiz, Thảm Họa Sóng Thần",Сайт фильмаСайт фильма,,
Цветы войны,8,7.5,7.2,2011,драма,исторический,2 часа 0 минут,Чжан Имоу,Гэлин Янь,02.08.2012 (РФ),,6 401 205 руб. (РФ),Люксор,"Beijing New Picture Film, Edko Films, New Picture Company","Jin ling shi san chai, Цветя на войната, Flores do Oriente, Las flores de la guerra, The Flowers of War: Taistelu vapaudesta, Sacrifices of War, Τα λουλούδια του πολέμου, I fiori della guerra, Karo geles, Kwiaty wojny, As Flores da Guerra, Cveće rata, Savasin Çiçekleri, 13 Flowers of Nanjing, Kim Lang Thap Tam Thoa, Nanjing Heroes, Jin Ling Shi San Chai, 金陵十三钗, Sõja õied, 金陵十三釵, Karo gėlės, Les flors de la guerra, Flowers of War, Savaşın Çiçekleri, Квіти війни",Сайт фильма,,
Что-то не так с Кевином,8,7.5,6.6,2011,детектив,драма,1 час 52 минуты,Линн Рэмси,Лайонел Шрайвер,19.01.2012 (РФ),,$1 738 692 (США),Вольга,"BBC Films, UK Film Council, Footprint Investment Fund, Piccadilly Pictures, Lipsync Productions, Independent, Artina Films, Rockinghorse Films, Caemhan, Panaramic, Beryl Betty, Atlantic Swiss Productions","Tenemos que hablar de Kevin, Трябва да поговорим за Кевин, Precisamos Falar Sobre o Kevin, Hvad med Kevin?, Me peame rääkima Kevinist, Poikani Kevin, Prepei na milisoume gia ton Kevin, Πρέπει να μιλήσουμε για τον Κέβιν, Ngo yanji si okmo, Wo erzi shi emo, Moramo razgovarati o Kevinu, Beszélnünk kell Kevinről, Hayavim ledaber al Kevin, ...e ora parliamo di Kevin, E ora parliamo di Kevin, Shounen wa zankoku-na yumi o iru, Kebin-e daehayeo, Vi må snakke om Kevin, Musimy porozmawiac o Kevinie, Temos de Falar Sobre Kevin, Moramo da razgovaramo o Kevinu, Vi måste prata om Kevin, Pogovoriti se morava o Kevinu, Kevin Hakkinda Konusmaliyiz, Kaiwen zenme le?",Сайт фильма,,
