Название,Оценка Film.ru,Оценка IMDb,Оценка пользователей,Год,Жанр,Страна,время,режиссер,сценарий,премьера,бюджет,сборы,кинопрокат,производство,другие названия,ссылки,режиссеры,длительность
Игра Джеральда,8,6.5,6.2,2017,триллер,ужасы,1 час 43 минуты,Майк Флэнеган,Джефф Ховард,24.09.2017 (мир),,,,Intrepid Pictures,"Jogo Perigoso, Das Spiel, Geralds farlige leg, El juego de Gerald, Gerald's Game: Julma Leikki, Julma leikki, Jessie, Το παιχνίδι του Τζέραλντ, Il gioco di Gerald, Geralds lek, Gra Geralda",Страница фильма,,
Я худею,8,6.5,7.2,2018,комедия,Россия,1 час 30 минут,Алексей Нужный,Алексей Нужный,08.03.2018 (РФ),,670 319 982 руб. (РФ),UPI,,,,,
Карп отмороженный,8,6.5,6.6,2017,драма,мелодрама,1 час 38 минут,Владимир Котт,  ...,18.01.2018 (РФ),,,Кинологистика,"Кинокомпания ""КиноКластер""",Карп замороженный,,,
Паранормальное,8,6.5,6.1,2017,драма,ужасы,1 час 51 минута,,Джастин Бенсон,19.07.2018 (РФ),,36 613 899 руб. (РФ),Экспонента,"Snowfort Pictures, Pfaff & Pfaff Productions, Love & Death Productions (LDP), Rustic Films","El infinito, O Culto, Endless, O Interminável, A végtelen, The Endless: Viaggi nel tempo, アルカディア, Nieskończony, Beskonačno, Нескінченність",,Аарон Мурхед,
Танцовщица,8,6.5,6.6,2016,биографический,драма,1 час 48 минут,СтефаниДи Гиусто,  ...,03.11.2016 (РФ),,$62 578 (США),Russian World Vision,"Trésor Films, Wild Bunch, Orange Studio, Les Films du Fleuve, Radio Télévision Belge Francophone (RTBF), Sirena Film, Canal+, Ciné+, VOO, BE TV, Centre national du cinéma et de l'image animée (CNC), Cofinova 12, A Plus Image 6, Palatine Étoile 13, Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles, Tax Shelter du Gouvernement Fédéral Belge, Casa Kafka Pictures, Casa Kafka Pictures Movie Tax Shelter Empowered by Belfius, Czech Tax Rebate, Aide aux Coproductions Minoritaires Tchèques","The Dancer, Die Tänzerin, Η χορεύτρια, A Dançarina, Dansaren, Die Tänzerin, La danseuse, Танцьорката, La Danseuse, 舞女, Danserinden, Io danzerò, ザ・ダンサー, Šokeja, Danserinnen, Tancerka, Dansatoarea, Plesačica, La bailarina, 狂舞摯愛, Muhteşem Loie, Танцівниця",,,
Неизвестная,8,6.5,6.3,2016,детектив,драма,1 час 53 минуты,,Люк Дарденн,17.11.2016 (РФ),,$150 549 (США),Русский Репортаж,"Les Films du Fleuve, Archipel 35, Savage Film, France 2 Cinéma, VOO, BE TV, Radio Télévision Belge Francophone (RTBF), Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles, Vlaams Audiovisueel Fonds, Eurimages, Canal+, Ciné+, France Télévisions, La Wallonie, Tax Shelter du Gouvernement Fédéral Belge, Casa Kafka Pictures, Casa Kafka Pictures Movie Tax Shelter Empowered by Belfius, Wild Bunch, Diaphana Films, Cinéart, BIM Distribuzione","Незнакомка, La Fille Inconnue, The Unknown Girl, La fille inconnue, Az ismeretlen lány, La ragazza senza nome, Nepazistamoji, Nieznajoma dziewczyna, Nieznana dziewczyna, Meçhul Kiz, La chica sin nombre, Das Unbekannte Mädchen, A Garota Desconhecida, Непознатото момиче, 无名女孩, Nepoznata djevojka, Neznámá Dívka, Kvinde, ukendt, Tundmatu tüdruk, Tuntematon tyttö, Das unbekannte Mädchen, Το Άγνωστο Κορίτσι, Ha'na'ara ha'almonit, 午後8時の訪問者, Nepažįstamoji, La chica desconocida, Kvinne, ukjent, Fata Necunoscută, Nepoznata devojka, Den okända flickan, Meçhul Kız, Невідома, Cô Gái Vô Danh",,Люк Дарденн,
Проклятие Аннабель: Зарождение зла,8,6.5,7,2017,детектив,триллер,1 час 49 минут,Дэвид Ф. Сандберг,Гари Доберман,10.08.2017 (РФ),15000000 $,337 149 928 руб. (РФ),Каро Премьер,"New Line Cinema, RatPac-Dune Entertainment, Atomic Monster, The Safran Company","Проклятие Аннабель: Зарождение ужаса, Проклятие Аннабель 2, Annabelle 2, Anabela 2, Annabelle 2 - A Criação do Mal, Annabelle 2: La creación, Анабел 2: Сътворение, Annabelle 2: A Criação do Mal, Anabelle 2: La Creación, Annabelle: Početak, Annabelle 2: A teremtés, Annabelle: Narodziny zla, Анабель 2, Annabelle 2: Skabelsen, Anabele 2, Annabelle 2: Creation, Annabelle 2 - La création du mal, Annabelle: la creación, Annabelle 2: Zrození zla, Annabelle: Loomine, Annabelle 2 : La Création du mal, Annabelle: Η Δημιουργία, Άνναμπελ: Η Δημιουργία, Άνναμπελ 2: Η Δημιουργία, アナベル　死霊人形の誕生, Anabella 2: Radīšana, Annabelle 2: la creación, Annabelle: Narodziny zła, Анабел 2: Стварање зла, Annabelle 2: Stvorenie zla, Annabelle: stvarjenje, Aenabel: Nirmanaya, 安娜貝爾：造孽, Annabelle: Kötülüğün Doğuşu, Анабель: Створення, Annabelle: Tạo Vật Quỷ Dữ",Сайт фильма,,
Землетрясение,8,6.5,7.7,2016,драма,Россия,1 час 42 минуты,Сарик Андреасян,  ...,01.12.2016 (РФ),,219 612 809 руб. (РФ),Каропрокат,"Mars Media Entertainment, National Cinema Centre of Armenia","Zemletryasenie, Yerkrasharzh, Zemes drebejimas",Сайт фильмаСайт фильма,,
Лондонские каникулы,8,6.5,6.5,2015,драма,комедия,1 час 37 минут,Джулиан Джэрролд,Кевин Худ,18.06.2015 (РФ),,$228 136 (США),Парадиз,"Ecosse Films, Film i Väst, Film i Väst, Filmgate Films, Lipsync, North Light Film Studios, Quickbake Production, Scope Pictures, Screen Yorkshire, Twinstone","Girls' Night Out, Uma Noite Real, A Noite da Realeza, Une soirée royale, Un escape real, 公主夜游记, Kuninkaalliset riehat, En kunglig kväll ute, A Royal Night - Ein königliches Vergnügen, Η πριγκίπισσα το 'σκασε, Hercegnők éjszakája, Yetzi'a malkhoutit, Una notte con la regina, ロイヤル・ナイト　英国王女の秘密の外出, Nakts bez kroņa, Naktis be karunos, Randka z królową, Uma Noite Fora do Palácio, Nepozabna noč britanskih princes, Noche real, Nit reial, Una noche real, Kaçak Prenses, Лондонські канікули",,,
Призрак,8,6.5,5.9,2015,детектив,комедия,1 час 30 минут,Александр Войтинский,Андрей Золотарев,26.03.2015 (РФ),,306 994 789 руб. (РФ),Наше Кино,"Кинокомпания СТВ, «Молния Пикчерз»",Prizrak,,,
"Всё, что вы хотели знать о сексе и налогах",8,6.5,6.3,2013,биографический,драма,1 час 50 минут,Кристоффер Боэ,Саймон Пастернак,01.05.2014 (РФ),,,Cinema Prestige,"AlphaVille Pictures Copenhagen, Nordisk Film Production","Sex, Drugs & Taxation",,,
Окулус,8,6.5,6.1,2013,детектив,ужасы,1 час 44 минуты,Майк Флэнеган,Джефф Сейдман,10.04.2014 (РФ),5000000 $,$27 695 246 (США),Люксор,"Intrepid Pictures, MICA Entertainment, WWE Studios, Blumhouse Productions, Lasser Productions","Огледалото, O Espelho, Oculus - Das Böse ist in dir, Oculus: El espejo del mal, The Mirror, O Kathreftis tis Kolaseos, Ο καθρέφτης της κολάσεως, Ha'sha'ar, Oculus - Il riflesso del male, Okulus, Oculus: El espejo del diablo, Oculus: O Espelho do Demónio, Ogledalo smrti, Göz, 鬼遮眼, 冥鏡高懸, オキュラス　怨霊鏡, Ma Gương",,,
Двойник,8,6.5,5.9,2013,детектив,драма,1 час 33 минуты,Ричард Айоади,Ави Корин,01.05.2014 (РФ),,$200 406 (США),Premium Film,"Alcove Entertainment, Attercop Productions, British Film Institute (BFI), Film4, Protagonist Pictures","Двойникът, O Duplo, El doble, O sosias, Ο σωσίας, A hasonmás, Il sosia - The Double, Antrininkas, Dubultnieks, Sobowtór, Dvojnik, Dvoinik, Öteki, Dvojník, Teisik, The double, The double - kaksoisolento, 嗤う分身, El Doble, 盜貼人生, Двійник",Сайт фильмаСайт фильма,,
Раз! Два! Три! Умри!,8,6.5,6.2,2012,комедия,мелодрама,1 час 28 минут,Бен Уитли,Эми Джамп,21.02.2013 (РФ),,$61 782 (США),Organic Films/Utopia Pictures,"StudioCanal, Film4, British Film Institute (BFI), Big Talk Productions, Rook Films","Turistas, Odmor iz pakla, Touristes, Sightseers - Killers on Tour!, Vérturisták, Hufsha nei'ma, Killer in viaggio, サイトシアーズ　殺人者のための英国観光ガイド, Turistai, Turysci, Assassinos de Férias, Excursionistii, Екскурсанти",Сайт фильмаСайт фильма,,
Поддубный,8,6.5,6.5,2014,биографический,драма,2 часа 0 минут,Глеб Орлов,Юрий Коротков,10.07.2014 (РФ),12000000 $,216 139 447 руб. (РФ),Централ Партнершип,"Красная стрела, Студия Тритэ","Иван Поддубный, Poddubnyy",Сайт фильма,,
Страсти Дон Жуана,8,6.5,5.7,2013,драма,комедия,1 час 30 минут,Джозеф Гордон-Левитт,Джозеф Гордон-Левитт,26.09.2013 (РФ),3000000 $,$24 477 704 (США),Парадиз,"Voltage Pictures, hitRECord, HitRecord Films, Ram Bergman Productions","Don Jon, Entre sus manos, Como Não Perder Essa Mulher, Дон Джон, Don Jon: Was Frauen wollen und Männer brauchen, Don Juan, Δον Ζουάν, ドン・ジョン, Dona Žuana kaislības, Don Žuanas, Un Atrevido Don Juan, Un atrevido don Juan, Un atrevido Don Juan, Don Džon, 超急情聖, Kalbim Sende, Пристрасті Дон Жуана, Don Jon's Addiction",Сайт фильмаСайт фильма,,
Византия,8,6.5,6.8,2012,драма,ужасы,1 час 58 минут,Нил Джордан,Мойра Баффини,01.08.2013 (РФ),8000000 $,$89 237 (США),Top Film Distribution,"Demarest Films, Lipsync Productions, Number 9 Films, Parallel Film Productions, WestEnd Films","A Vampire Story, Byzantium: Uma Vida Eterna, Византия, 拜占庭, Byzantium: Upíří příběh, Bütsants, Aioniotita, Αιωνιότητα, Bizánc, Bizanchiumu, ビザンチウム, Bizantija, Хотел Византија, Byzantium: Upírí príbeh, 血染拜占庭, Bir Vampir Hikâyesi, Візантія",Сайт фильма,,
Ледниковый период 4: Континентальный дрейф,8,6.5,8.4,2012,мультфильмы,комедия,1 час 28 минут,,Лори Форте,12.07.2012 (РФ),95000000 $,1 639 856 348 руб. (РФ),Двадцатый Век Фокс СНГ,"Blue Sky Studios, FortyFour Studios, Twentieth Century Fox Animation","Ice Age 4, Ice Age 4: Continental Drift, La era de hielo 4, A Era do Gelo 4, Ледена епоха 4: Континентален дрейф, L'ère de glace 4: La dérive des continents, Ledeno Doba 4: Zemlja se trese, Ledeno Doba 4, Doba ledová 4: Země v pohybu, Ice Age 4: På gyngende grund, Jääaeg 4, Ice Age 4: Mannerten mullistus, L'Âge de glace 4 : La Dérive des continents, Ice Age 4 - Voll verschoben, I epohi ton pagetonon 4: O horos ton ipeiron, Η εποχή των παγετώνων 4: Ο χορός των ηπείρων, Jégkorszak 4: Vándorló kontinens, Idan ha'kerah 4: yabeshet bi'tnua, L'era glaciale 4 - Continenti alla deriva, アイス・エイジ4 パイレーツ大冒険, Ledus laikmets 4: Kontinentu dreifs, Ledynmetis 4: žemynų atsiradimas, Ledynmetis 4, Istid 4 - Kontinenter på avveie, Epoka Lodowcowa 4: Wędrówka kontynentów, A Idade do Gelo 4: Deriva Continental, Epoca de gheață 4: Continente în derivă, Ледено доба 4: Померање континената, Doba ľadová 4: Zem v pohybe, Ledena doba 4: Celinski premiki, Aiseu Eiji 4: Daeryuk Idongseol, Ice Age 4: La formación de los continentes, Ice Age 4: Jorden skakar loss, 冰原歷險記4：板塊漂移, Buz Devri 4: Kıtalar Ayrılıyor, Льодовиковий період 4: Континентальний дрейф, Ice Age: Th4w, Muzlik davri: Ayro qit'alar, Muzlik davri 4, Kỷ Băng Hà 4: Lục Địa Trôi Dạt, Ice Age: Continental Drift, Muzlik davri 4: Ayro qit'alar, La era de hielo 4: La formación de los continentes",Сайт фильмаСайт фильма,Майк Турмайер,
Золотая молодежь,8,6.5,7.1,2003,война,драма,1 час 46 минут,Стивен Фрай,Ивлин Во,12.11.2009 (РФ),,$933 637 (США),Другое Кино,"Film Consortium, The, UK Film Council, Visionview Production, Icon Film Distribution, Revolution Films, Doubting Hall Limited",,,,
Луиза-Мишель,8,6.5,6.6,2008,комедия,Франция,1 час 34 минуты,,Бенуа Делепин,24.09.2009 (РФ),,,Кино Без Границ,"arte France Cinema, Canal+, CineCinema, Centre National de la Cinematographie, MNP Entreprise, No Money Productions",,,Бенуа Делепин,
